Country,DevType,WorkRemote,Count,WorkWeekHrs,JobSat,CareerSat
China,"Developer, back-end",1.3895705521472392,163,4.25984251968504,2.912280701754386,3.1147540983606556
China,"Developer, front-end",1.0512820512820513,39,4.620689655172414,2.7804878048780486,2.8297872340425534
China,"Developer, full-stack",1.530612244897959,49,4.27027027027027,2.980392156862745,3.25
France,Academic researcher,1.6578947368421053,95,4.5813953488372094,3.9263157894736844,4.010204081632653
France,Data or business analyst,1.3846153846153846,65,4.758620689655173,3.830769230769231,3.9558823529411766
France,Data scientist & ML,1.5459183673469388,98,4.730337078651686,3.7755102040816326,4.098039215686274
France,Database administrator,1.6376146788990826,109,4.653846153846154,3.5315315315315314,3.8
France,DevOps specialist,1.6470588235294117,17,4.764705882352941,4.0,4.176470588235294
France,"Developer, back-end",1.5423850574712643,696,4.768875192604006,3.67,3.922316384180791
France,"Developer, front-end",1.5,85,4.857142857142857,3.7209302325581395,3.942528735632184
France,"Developer, full-stack",1.6127167630057804,346,4.776073619631902,3.5072046109510087,3.8022922636103154
Germany,Academic researcher,1.631764705882353,425,4.6368286445012785,3.775462962962963,3.9888641425389757
Germany,Data or business analyst,1.596638655462185,238,4.592760180995475,3.7941176470588234,3.966804979253112
Germany,Data scientist & ML,1.8076923076923077,169,4.716981132075472,3.9702380952380953,4.045977011494253
Germany,Database administrator,1.6953883495145632,412,4.689839572192513,3.6819277108433734,3.875
Germany,DevOps specialist,1.8275862068965518,29,4.814814814814815,3.689655172413793,4.103448275862069
Germany,"Developer, back-end",1.5556242274412855,1618,4.7701453104359315,3.6982758620689653,3.9628501827040195
Germany,"Developer, front-end",1.606694560669456,239,4.834042553191489,3.5933609958506225,3.8658536585365852
Germany,"Developer, full-stack",1.588235294117647,595,4.770462633451957,3.6855241264559067,3.879139072847682
Greece,Academic researcher,1.9673913043478262,46,4.454545454545454,3.782608695652174,3.74
Greece,Data or business analyst,1.4242424242424243,33,4.448275862068965,3.0303030303030303,3.4411764705882355
Greece,Data scientist & ML,2.5,13,4.0,3.923076923076923,4.230769230769231
Greece,Database administrator,1.986842105263158,38,4.277777777777778,3.5526315789473686,3.769230769230769
Greece,DevOps specialist,1.0,1,4.0,3.0,3.0
Greece,"Developer, back-end",1.6626016260162602,123,4.539130434782609,3.5447154471544717,3.693548387096774
Greece,"Developer, front-end",1.7105263157894737,19,4.823529411764706,3.473684210526316,3.8
Greece,"Developer, full-stack",1.75,44,4.619047619047619,3.6222222222222222,3.9148936170212765
India,Academic researcher,1.6027190332326284,331,4.161290322580645,3.5964912280701755,3.76056338028169
India,Data or business analyst,1.7077363896848137,349,4.246753246753247,3.352112676056338,3.5885558583106265
India,Data scientist & ML,1.6305220883534137,249,4.255707762557078,3.2936507936507935,3.722433460076046
India,Database administrator,1.8416149068322982,322,4.1611721611721615,3.599388379204893,3.919881305637982
India,DevOps specialist,1.957142857142857,35,4.333333333333333,3.27027027027027,3.6052631578947367
India,"Developer, back-end",1.5070955534531694,2114,4.345984598459846,3.4193103448275863,3.7042818911685993
India,"Developer, front-end",1.4618249534450651,537,4.484162895927602,3.553345388788427,3.7513321492007106
India,"Developer, full-stack",1.5435450819672132,976,4.329670329670329,3.4244244244244246,3.6973555337904016
Poland,Academic researcher,2.267123287671233,73,4.56140350877193,3.7260273972602738,3.8533333333333335
Poland,Data or business analyst,1.8209876543209877,81,4.662162162162162,3.6707317073170733,3.8536585365853657
Poland,Data scientist & ML,2.254385964912281,57,4.678571428571429,3.754385964912281,3.864406779661017
Poland,Database administrator,2.421875,96,4.540229885057471,3.5520833333333335,3.7916666666666665
Poland,DevOps specialist,1.6363636363636365,11,4.909090909090909,3.5454545454545454,3.727272727272727
Poland,"Developer, back-end",1.9373156342182891,678,4.703588143525741,3.6288659793814433,3.907246376811594
Poland,"Developer, front-end",2.133720930232558,86,4.7,3.7241379310344827,3.852272727272727
Poland,"Developer, full-stack",2.0646067415730336,178,4.5588235294117645,3.6235955056179776,3.9722222222222223
United Kingdom,Academic researcher,1.8622448979591837,196,4.537142857142857,3.99492385786802,4.02970297029703
United Kingdom,Data or business analyst,1.8675496688741722,302,4.705035971223022,3.8217821782178216,3.9478827361563518
United Kingdom,Data scientist & ML,1.8721590909090908,176,4.590361445783133,4.0055555555555555,4.233333333333333
United Kingdom,Database administrator,1.9623115577889447,398,4.695187165775401,3.73,3.987623762376238
United Kingdom,DevOps specialist,1.623076923076923,65,4.8,4.123076923076923,4.246153846153846
United Kingdom,"Developer, back-end",1.6855444305381728,1598,4.832769126607989,3.7341692789968652,4.026543209876543
United Kingdom,"Developer, front-end",1.5583941605839415,274,4.880769230769231,3.872262773722628,4.218978102189781
United Kingdom,"Developer, full-stack",1.7009443861490032,953,4.848552338530067,3.770199370409234,4.07098121085595
United States,Academic researcher,1.986254295532646,873,4.401785714285714,3.956769055745165,4.0856201975850714
United States,Data or business analyst,2.0032281205164995,1394,4.403655750190404,3.836559139784946,4.136619718309859
United States,Data scientist & ML,2.1341463414634148,738,4.418978102189781,3.9499323410013534,4.247354497354498
United States,Database administrator,2.2851331360946747,1352,4.5,3.9034635224760503,4.195636363636364
United States,DevOps specialist,2.3557046979865772,149,4.506944444444445,3.8783783783783785,4.119205298013245
United States,"Developer, back-end",2.0429838087895145,5188,4.606103476151981,3.9016929588303193,4.240370090634441
United States,"Developer, front-end",2.0045289855072466,1104,4.737247353224254,3.903985507246377,4.208703374777975
United States,"Developer, full-stack",1.994811320754717,3180,4.640093395597065,3.879120879120879,4.228852660719778
